ACCESSION: MSBNK-SMB_Measured-HSA031P0442000
RECORD_TITLE: Uncharacterized; LC-ESI-QTOF; MS2; NEGATIVE; Averaged data
DATE: 2025.04.02 (Averaged 2025.02.24, Processed 2025.02.24, Annotated 2025.03.31, Curated 2025.04.02)
AUTHORS: Shin-MassBank project
LICENSE: CC BY-NC-SA
PUBLICATION: Yu et al. Front Cell Infect Microbiol. 2022,11,763507
COMMENT: This is an averaged mass spectra data created by averaging product ion scan data obtained from the following DDA dataset.
COMMENT: REPOSITORY MetaboLights
COMMENT: DATASET_ID MTBLS3233
COMMENT: DATASET_TITLE The gut microbiome and metabolites are altered and interrelated in patients with rheumatoid arthritis
COMMENT: DATASET_AUTHORS Die Yu, Juping Du, Xia Pu, Liyuan Zheng, Shuaishuai Chen, Na Wang, Jun Li, Shiyong Chen, Shaobiao Pan, Bo Shen
COMMENT: MS1_M/Z_AVERAGED_THRES 10.000
COMMENT: MS2_M/Z_AVERAGED_THRES 15.000
COMMENT: DATASET_FILE_NUM 59
COMMENT: NUM_AVERAGED_SPEC 24
COMMENT: RAW_SPEC {'HC12-neg_2991': {'bp': 4520.0, 'sum': 5998.0}, 'HC19-neg_2709': {'bp': 2170.0, 'sum': 2882.0}, 'HC3-neg_3003': {'bp': 2142.0, 'sum': 2600.0}, 'HC9-neg_2700': {'bp': 2062.0, 'sum': 3179.0}, 'RA17-neg_2895': {'bp': 1857.0, 'sum': 2570.0}, 'HC18-neg_2813': {'bp': 1815.0, 'sum': 2172.0}, 'RA2-neg_2857': {'bp': 1391.0, 'sum': 1850.0}, 'HC2-neg_2691': {'bp': 1383.0, 'sum': 2146.0}, 'RA5-neg_2782': {'bp': 1225.0, 'sum': 1836.0}, 'QC2-neg_2505': {'bp': 1215.0, 'sum': 2281.0}, 'RA12-neg_2947': {'bp': 1124.0, 'sum': 1888.0}, 'HC13-neg_3090': {'bp': 1076.0, 'sum': 1535.0}, 'QC1-neg_2493': {'bp': 980.0, 'sum': 1947.0}, 'HC5-neg_2695': {'bp': 774.0, 'sum': 1690.0}, 'HC20-neg_2909': {'bp': 766.0, 'sum': 1021.0}, 'RA13-neg_2718': {'bp': 678.0, 'sum': 1086.0}, 'RA16-neg_2951': {'bp': 654.0, 'sum': 1163.0}, 'HC10-neg_2869': {'bp': 551.0, 'sum': 1008.0}, 'QC5-neg_2704': {'bp': 550.0, 'sum': 907.0}, 'QC6-neg_2754': {'bp': 547.0, 'sum': 801.0}, 'HC7-neg_2632': {'bp': 445.0, 'sum': 699.0}, 'HC16-neg_3098': {'bp': 409.0, 'sum': 664.0}, 'RA15-neg_2915': {'bp': 376.0, 'sum': 733.0}, 'RA7-neg_2481': {'bp': 290.0, 'sum': 494.0}}
COMMENT: RETENTION_TIME_STDEV 0.006
COMMENT: PRECURSOR_M/Z_RAW 442.191814
COMMENT: PRECURSOR_M/Z_STDEV 0.001220
COMMENT: PRECURSOR_IN_MS1 mz 442.189355; int 33.548; delta(ppm) -0.797108
COMMENT: PROPOSED_CHARGE_STATE ND
COMMENT: PROPOSED_ISOTOPE_STATE ND
COMMENT: PROPOSED_ION_FORM M+Na-2H; M-H2O-H; mz 402.195241; int 3.402; cor 0.626
COMMENT: PROPOSED_MAX_NUM_S 0
COMMENT: PROPOSED_MF SevenGoldenRules 8.597; C22H31N5OP2; [M-H]1; delta(ppm) -8.596637
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.804; DTNXMWNHACZCBK-BPPXLPNYSA-N; [M-H]-; UNPD214962
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.804; CXEBHAGFESHWNA-RJJWMSMHSA-N; [M-H]-; Didymellamide G
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.680; PLNPXYQHYDMAGY-UHFFFAOYNA-N; [M-H]-; 3-(1,3-benzodioxol-5-yl)-1-(2,6-dimethyl-4-morpholinyl)-3-(2-hydroxy-4,6-dimethoxyphenyl)-1-propanone
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.680; MECBSCOFIREULX-UHFFFAOYSA-N; [M-H]-; N-[2-(2-acetyl-4,5-dimethoxyphenyl)ethyl]-3-(3,4,5-trimethoxyphenyl)prop-2-enamide
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.680; NKDHLUYPSZAZIC-UHFFFAOYSA-N; [M-H]-; N-(2-{4,5-dimethoxy-2-[3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]phenyl}ethyl)acetamide
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.680; UDDNIDULKWOHOE-UHFFFAOYSA-N; [M-H]-; 1-[2-({3,4,8,8-tetramethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]piperidine-3-carboxylic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.680; XFCRTUBGAGUUPR-UHFFFAOYSA-N; [M-H]-; 1-[2-({3,4,8,8-tetramethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]piperidine-4-carboxylic acid
COMMENT: PROPOSED_COMPOUND MetFrag:MsfinderDB 0.154; PTCUNTNDRJMBNI-UHFFFAOYSA-N; [M-H]-; methyl 1-[2-({4,8,8-trimethyl-2-oxo-2H,8H,9H,10H-pyrano[2,3-h]chromen-5-yl}oxy)acetyl]piperidine-4-carboxylate
COMMENT: PROPOSED_COMPOUND MetFrag:PubchemLite 3.000; CHIDDYZONKDHLG-UHFFFAOYSA-N; [M-H]-; 3-[2-[2-[2-(9H-fluoren-9-ylmethoxycarbonylamino)ethoxy]ethoxy]ethoxy]propanoic acid
COMMENT: PROPOSED_COMPOUND MetFrag:PubchemLite 1.846; RSTAAABJXUCDEQ-UHFFFAOYSA-N; [M-H]-; 2-ethoxy-N-(1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl)acetamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -300.387; FHRLERNSAYIEFP; [M-H+Na-H]-; N-[2-(dimethylamino)ethyl]-N''-[2-[2-(1H-indol-3-yl)ethylcarbamoyl]phenyl]oxamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -370.343; GHFKYSSADKPBIN; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -376.112; RMDKSWUASVUKPM; [M-H+Na-H]-; N-[2,4-dioxo-3-[3-(4-phenylpiperazin-1-yl)propyl]-1H-quinazolin-6-yl]acetamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -378.025; ZFIBYOSRRUDOFA; [M-H+Na-H]-; N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-2-[4-(4-hydroxyphenyl)piperazin-1-yl]acetamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -383.096; FWHALCFVPBJLRZ; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -389.909; XRJAGLGHLXFIEV; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -392.412; XFIBSUWLZPTXNL; [M-H+Na-H]-; N,N-Bis(2-methoxyethyl)-3-(4-methoxy-3-methylphenyl)-1,2,4-triazolo(3,4-a)phthalazin-6-amine
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -392.680; PSDMCEUNOMVSPZ; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -402.816; DZWLZPWRNXQUGF; [M-H+Na-H]-; 2-[ethyl-[(4-oxo-1H-quinazolin-2-yl)methyl]amino]-N-(4-morpholin-4-ylphenyl)acetamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -413.435; JEYKZWRXDALMNG; [M-H+Na-H]-; Sufotidina
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -429.233; ZCWLCTIDZFXYQA; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -445.691; OKAQHVJSXLGXET; [M-H+Na-H]-; Valsartan Imp. C (EP).
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -446.478; PMKMCABYJLILBB; [M-H+Na-H]-; Mpmpcp
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -447.360; QCILVCJZIMVCMY; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -448.754; RABHZWFIJNAQRQ; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -454.284; GGGUEYCQLIHTKW; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -471.175; XKGUYRWNNMXUQO; [M-H+Na-H]-; [4-(diphenylmethyl)piperazinyl]-N-naphthylcarboxamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -485.278; UBTNLNDCRLQHBV; [M-H+Na-H]-; N-(p-(2-(Methylphenylamino)ethoxy)phenyl)-N''-phenyl-benzamidine
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -485.521; IWOXZIWLJNHVRW; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -489.737; NMMRQOVLVLCJGO; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -491.772; RCHTXGRVIYGQFU; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -495.506; LAVWELHESAWYDA; [M-H+Na-H]-; Oprea1_268203
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -495.842; HKZRXKNGDCOEMV; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -498.366; GMABBLNRVHCWFG; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -500.223; RXUKCZLZYJAIKS; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -508.362; SLJVMWRNYMHJGP; [M-H+Na-H]-; Oprea1_654068
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -508.471; LGNFQEXEWVDCSS; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -526.159; ICKJSPMWLYUURU; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -527.101; NELTVNJYERIPEK; [M-H+Na-H]-; 1-cyclohexyl-2-imino-5-oxo-N-(tetrahydrofuran-2-ylmethyl)-1,5-dihydro-2H-dipyrido[1,2-a:2'',3''-d]pyrimidine-3-carboxamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -538.221; BQCMHIUJKMUBKE; [M-H+Na-H]-; N-[1-(4-chlorophenyl)ethyl]-3-(4-methylphenyl)-3-(4-propan-2-yloxyphenyl)propan-1-amine
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -540.396; GGMIFFPFTQSWTL; [M-H+Na-H]-; 1-cyclopentyl-2-imino-10-methyl-5-oxo-N-(tetrahydrofuran-2-ylmethyl)-1,5-dihydro-2H-dipyrido[1,2-a:2'',3''-d]pyrimidine-3-carboxamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -544.757; DAJJFAQBFIKYCV; [M-H+Na-H]-; N''-[2-(diethylamino)acetyl]-2-(3-methoxyanilino)quinoline-4-carbohydrazide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -545.540; OJLLCUYOJFFZSS; [M-H+Na-H]-; 3-[9-methyl-2-(4-methylpiperidin-1-yl)-4-oxopyrido[1,2-a]pyrimidin-3-yl]-2-(morpholine-4-carbonyl)prop-2-enenitrile
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -558.241; WFEOKSWALDVJEY; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -564.574; BQGAOXPJYPZXSE; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -577.860; MXXRJJCMLRPJOF; [M-H+Na-H]-; Prazobind
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -580.851; VQNFPDIMAQDQNF; [M-H+Na-H]-; 2-diethylaminoethyl 4-[(3-methyl-5-oxo-1-phenyl-4H-pyrazol-4-yl)diazenyl]benzoate
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -580.898; DVTIDYXRHYACGU; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -589.133; DQPDUJDTFYTAKL; [M-H+Na-H]-; nan
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -612.562; CIPMOXHUHKCKLW; [M-H+Na-H]-; (2R,4S,5R)-N-(furan-2-ylmethyl)-2-[[4-(4-methoxyphenyl)triazol-1-yl]methyl]-1-azabicyclo[2.2.2]octane-5-carboxamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -620.035; NMYCEQBAXBOEMK; [M-H+Na-H]-; (3S,3aR,6S,6aR)-6-N-[4-[4-(dimethylamino)phenyl]pyrimidin-2-yl]-3-N-(furan-2-ylmethyl)-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-3,6-diamine
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -651.083; MKGNJIHHYJYHID; [M-H+Na-H]-; (2R,4S,5R)-N-(furan-2-ylmethyl)-2-[[4-(phenoxymethyl)triazol-1-yl]methyl]-1-azabicyclo[2.2.2]octane-5-carboxamide
COMMENT: PROPOSED_COMPOUND SIRIUS5_CSI:biodatabase -654.872; DBJREFWYXGXAGP; [M-H+Na-H]-; (3S,3aR,6S,6aR)-3-N-[[4-(dimethylamino)phenyl]methyl]-6-N-[4-(furan-2-yl)pyrimidin-2-yl]-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-3,6-diamine
COMMENT: PROPOSED_COMPOUND SIRIUS5_Confidence:biodatabase 0.671; FHRLERNSAYIEFP; [M-H+Na-H]-; N-[2-(dimethylamino)ethyl]-N''-[2-[2-(1H-indol-3-yl)ethylcarbamoyl]phenyl]oxamide
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -344.851; HGOIAAUCCRMOEG; [M-H]-; 1-[[4-(8-azabicyclo[3.2.1]octan-8-yl)-2-(trifluoromethyl)phenyl]methyl]-3-(1H-indazol-4-yl)urea
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -351.870; DCSZKXVLNDMKDL; [M-H]-; N-[4-(8-azabicyclo[3.2.1]oct-8-yl)-3-(trifluoromethyl)benzyl]-N'-1H-indazol-4-ylurea
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -368.992; HDYNYISXCAGZDZ; [M-H]-; 3-[5-cyclopropyl-3-(5-methyl-1,3,4-oxadiazol-2-yl)-1H-pyrazol-1-yl]-N~1~-(4-methoxyphenethyl)benzamide
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -423.293; GCPQPOUIAUKDFC; [M-H]-; 1-[(2R)-2-methyl-2,3-dihydroindol-1-yl]-2-[4-[5-(trifluoromethyl)benzotriazol-1-yl]piperidin-1-yl]ethanone
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -424.666; PSSQNEIPMKKFRY; [M-H]-; N-[(3,5-dimethyl-1H-pyrazol-4-yl)methyl]-4-{5,11-dioxo-5H,6H,6aH,11H-isoindolo[2,1-a]quinazolin-6-yl}butanamide
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -435.951; QIIHKUBWBJHTFJ; [M-H]-; N-({1-[(2r)-4-(Hydroxyamino)-1-(Naphthalen-2-Yl)-4-Oxobutan-2-Yl]-1h-1,2,3-Triazol-4-Yl}methyl)-4-Methylbenzamide
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -445.612; KCDUCFRQSKWOOA; [M-H]-; 4-{5,11-dioxo-5H,6H,6aH,11H-isoindolo[2,1-a]quinazolin-6-yl}-N-[3-(1H-imidazol-1-yl)propyl]butanamide
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -466.911; BRLHDBQJAXKNDL; [M-H]-; 6-imino-7-[(4-methylphenyl)methyl]-2-oxo-N-[[(2R)-oxolan-2-yl]methyl]-1,7,9-triazatricyclo[8.4.0.03,8]tetradeca-3(8),4,9,11,13-pentaene-5-carboxamide
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -479.856; SBPRNAZJEHULEN; [M-H]-; [4-[[6-(4-Hydroxy-3,5-dimethylphenyl)-[1,2,4]triazolo[1,5-a]pyridin-2-yl]amino]phenyl]-morpholin-4-ylmethanone
COMMENT: PROPOSED_COMPOUND SIRIUS6_CSI:biodatabase -489.218; UTQDIVUFZMAIBF; [M-H]-; 6-oxo-N-(2-{[(pyridin-2-yl)methyl]carbamoyl}phenyl)-7,11-diazatricyclo[7.3.1.0²,⁷]trideca-2,4-diene-11-carboxamide
COMMENT: PROPOSED_COMPOUND SIRIUS6_Confidence:biodatabase 0.103; HGOIAAUCCRMOEG; [M-H]-; 1-[[4-(8-azabicyclo[3.2.1]octan-8-yl)-2-(trifluoromethyl)phenyl]methyl]-3-(1H-indazol-4-yl)urea
COMMENT: CONFIDENCE Level 5: Exact mass of interest 442.189295; Observed in MS1; Charge state Unknown;
CH$COMPOUND_CLASS: Uncharacterized
CH$FORMULA: C39H42O2
CH$EXACT_MASS: 542.318480
CH$SMILES: CCCC#Cc1cc(C#CCCC)cc(C#Cc2cc(C#CC(C)(C)C)c(cc2C#CC(C)(C)C)C2OCCO2)c1
CH$IUPAC: InChI=1S/C39H42O2/c1-9-11-13-15-30-25-31(16-14-12-10-2)27-32(26-30)17-18-33-28-35(20-22-39(6,7)8)36(37-40-23-24-41-37)29-34(33)19-21-38(3,4)5/h25-29,37H,9-12,23-24H2,1-8H3
CH$LINK: PUBCHEM CID:11353257
SP$SCIENTIFIC_NAME: Homo sapiens
SP$LINK: NCBI-TAXONOMY 9606 
SP$SAMPLE: Feces
AC$INSTRUMENT: UPLC system, AB SCIEX - TripleTOF 5600+ mass spectrometer, AB SCIEX
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY -30 V
AC$MASS_SPECTROMETRY: ION_SPRAY_VOLTAGE -4.5 kV
AC$MASS_SPECTROMETRY: IONIZATION ESI
AC$MASS_SPECTROMETRY: MASS_ACCURACY MS1(ppm) 10.00; MS2(ppm) 15.00
AC$CHROMATOGRAPHY: COLUMN_NAME ACQUITY UPLC T3 column (1.8 µm, 100 mm x 2.1 mm; Waters)
AC$CHROMATOGRAPHY: FLOW_GRADIENT 0.0-0.5 min, 5% B; 0.5-7.0 min, 100% B; 7.0-8.0 min, 100% B; 8.0-8.1 min, 5% B; 8.1-10.0 min, 5% B. 
AC$CHROMATOGRAPHY: FLOW_RATE 0.4 mL/min
AC$CHROMATOGRAPHY: RETENTION_TIME 3.423
MS$FOCUSED_ION: PRECURSOR_M/Z 442.189295
MS$DATA_PROCESSING: RECALIBRATE Data dependent recalibration using whole DDA dataset
PK$SPLASH: splash10-0006-0000900000-f866ffe838d86fd2927f
PK$ANNOTATION: m/z int annotation m/z_nocal m/z_std(ppm) int_std cor n
  264.0914720 82.7266 ? 264.091793 11.0189 23.02 0.8497 18
  424.1773357 74.6735 ? 424.178847 12.9380 34.85 0.6662 19
  442.1910016 999.0000 ? 442.193108 3.3379 0.00 1.0000 24
PK$NUM_PEAK: 3
PK$PEAK: m/z int. rel.int.
  264.091472 82.73 82
  424.177336 74.67 74
  442.191002 999.00 999
//
